"company_name","fiscal_year","total_assets","total_liabilities","shareholders_equity","total_debt","liabilities_to_assets","debt_to_assets","debt_to_equity"
George Weston Limited,2019,2556161000.0,,,,,,
George Weston Limited,2020,2484347000.0,,,,,,
George Weston Limited,2021,3085861000.0,,,,,,
George Weston Limited,2022,3488214000.0,,,,,,
George Weston Limited,2023,3729182000.0,,,,,,
George Weston Limited,2024,4479523000.0,,,,,,
George Weston Limited,2025,4414805000.0,,,,,,
George Weston Limited,2009,1160613000.0,,,,,,
Canadian Natural Resources Limited,2010,5315170.0,4745835.0,,,0.8929,,
Canadian Natural Resources Limited,2011,966703.0,2237794.0,,,2.3149,,
Canadian Natural Resources Limited,2012,1136841.0,2354823.0,,,2.0714,,
Canadian Natural Resources Limited,2013,2701405.0,1650470.0,,,0.6110,,
Canadian Natural Resources Limited,2014,2067449.0,1308388.0,,,0.6329,,
Canadian Natural Resources Limited,2015,20416079.0,2266162.0,,,0.1110,,
Canadian Natural Resources Limited,2016,17289365.0,1836477.0,,,0.1062,,
Canadian Natural Resources Limited,2017,16078822.0,2325527.0,,,0.1446,,
Canadian Natural Resources Limited,2018,11692332.0,1226110.0,,,0.1049,,
Canadian Natural Resources Limited,2019,2496698.0,4781871.0,,,1.9153,,
Canadian Natural Resources Limited,2020,22520572.0,2185453.0,,,0.0970,,
Canadian Natural Resources Limited,2021,17769041.0,2153586.0,,,0.1212,,
Canadian Natural Resources Limited,2022,11344255.0,6042699.0,,,0.5327,,
Canadian Natural Resources Limited,2023,4517035.0,3453470.0,,,0.7645,,
Canadian Natural Resources Limited,2024,8615560.0,4843528.0,,,0.5622,,
Canadian Natural Resources Limited,2025,8303315.0,3196510.0,,,0.3850,,
Bank of Nova Scotia,2017,915273000000.0,853648000000.0,,,0.9327,,
Bank of Nova Scotia,2018,998493000000.0,930813000000.0,,,0.9322,,
Bank of Nova Scotia,2019,1086161000000.0,1015969000000.0,,,0.9354,,
Bank of Nova Scotia,2020,1136466000000.0,1065963000000.0,,,0.9380,,
Bank of Nova Scotia,2021,1184844000000.0,1111952000000.0,,,0.9385,,
Bank of Nova Scotia,2022,1349418000000.0,1274669000000.0,,,0.9446,,
Bank of Nova Scotia,2023,1411043000000.0,1332472000000.0,,,0.9443,,
Bank of Nova Scotia,2024,1412027000000.0,1327951000000.0,,,0.9405,,
Bank of Nova Scotia,2025,1460042000000.0,1371455000000.0,,,0.9393,,
Canadian Imperial Bank of Commerce,2010,369480000.0,133865000.0,,,0.3623,,
Canadian Imperial Bank of Commerce,2011,447017000.0,89928000.0,,,0.2012,,
Canadian Imperial Bank of Commerce,2012,705309000.0,323732000.0,,,0.4590,,
Canadian Imperial Bank of Commerce,2013,728283000.0,322577000.0,,,0.4429,,
Canadian Imperial Bank of Commerce,2014,747165000.0,311906000.0,,,0.4175,,
Canadian Imperial Bank of Commerce,2015,778728000.0,312625000.0,,,0.4015,,
Canadian Imperial Bank of Commerce,2016,942803000.0,444614000.0,,,0.4716,,
Canadian Imperial Bank of Commerce,2017,1111811000.0,435477000.0,,,0.3917,,
Canadian Imperial Bank of Commerce,2018,1620012000.0,687237000.0,,,0.4242,,
Canadian Imperial Bank of Commerce,2019,1757321000.0,807377000.0,,,0.4594,,
Canadian Imperial Bank of Commerce,2020,1664396000.0,705821000.0,,,0.4241,,
Canadian Imperial Bank of Commerce,2021,1648294000.0,608495000.0,,,0.3692,,
Canadian Imperial Bank of Commerce,2022,1663966000.0,519569000.0,,,0.3122,,
Canadian Imperial Bank of Commerce,2023,2325244000.0,1123244000.0,,,0.4831,,
Canadian Imperial Bank of Commerce,2024,2418603000.0,1039244000.0,,,0.4297,,
Canadian Imperial Bank of Commerce,2025,2685922000.0,1101619000.0,,,0.4101,,
Canadian Imperial Bank of Commerce,2009,271513000.0,,,,,,
National Bank of Canada,2010,102363554.0,,,,,,
National Bank of Canada,2011,90107428.0,,,,,,
National Bank of Canada,2012,141045236.0,,,,,,
National Bank of Canada,2013,135156519.0,,,,,,
National Bank of Canada,2014,117137344.0,,,,,,
National Bank of Canada,2015,122914781.0,,,,,,
National Bank of Canada,2016,121240557.0,,,,,,
National Bank of Canada,2017,123216647.0,,,,,,
National Bank of Canada,2018,144854183.0,,,,,,
National Bank of Canada,2019,167063256.0,,,,,,
National Bank of Canada,2020,225823047.0,,,,,,
National Bank of Canada,2021,245286123.0,,,,,,
National Bank of Canada,2022,311196770.0,,,,,,
National Bank of Canada,2023,422730882.0,,,,,,
National Bank of Canada,2024,541893618.0,,,,,,
National Bank of Canada,2025,842782234.0,,,,,,
Sun Life Financial Inc.,2016,258238000000.0,235870000000.0,,,0.9134,,
Sun Life Financial Inc.,2017,269112000000.0,246141000000.0,,,0.9146,,
Sun Life Financial Inc.,2018,271827000000.0,247257000000.0,,,0.9096,,
Sun Life Financial Inc.,2019,297202000000.0,272694000000.0,,,0.9175,,
Sun Life Financial Inc.,2020,323011000000.0,297149000000.0,,,0.9199,,
Sun Life Financial Inc.,2021,349144000000.0,326938000000.0,,,0.9364,,
Sun Life Financial Inc.,2022,323608000000.0,300721000000.0,,,0.9293,,
Sun Life Financial Inc.,2023,333241000000.0,309041000000.0,,,0.9274,,
Sun Life Financial Inc.,2024,370721000000.0,344592000000.0,,,0.9295,,
Sun Life Financial Inc.,2025,398455000000.0,372963000000.0,,,0.9360,,
Canadian Tire Corporation Limited,2010,16522000000.0,,,,,,
Canadian Tire Corporation Limited,2011,17493000000.0,,,,,,
Canadian Tire Corporation Limited,2012,17651000000.0,,,,,,
Canadian Tire Corporation Limited,2013,17410000000.0,,,,,,
Canadian Tire Corporation Limited,2014,18649000000.0,,,,,,
CAE Inc.,2017,5397700000.0,3385400000.0,,,0.6272,,
CAE Inc.,2018,5780200000.0,3482700000.0,,,0.6025,,
CAE Inc.,2019,7165500000.0,4755500000.0,,,0.6637,,
CAE Inc.,2020,8483600000.0,5905300000.0,,,0.6961,,
CAE Inc.,2021,8748400000.0,5535600000.0,,,0.6328,,
CAE Inc.,2022,9578800000.0,5492200000.0,,,0.5734,,
CAE Inc.,2023,10436500000.0,5847600000.0,,,0.5603,,
CAE Inc.,2024,9834100000.0,5531500000.0,,,0.5625,,
CAE Inc.,2025,11213800000.0,6237800000.0,,,0.5563,,
CGI Inc.,2010,19461900000.0,,,,,,
CGI Inc.,2011,19551500000.0,,,,,,
CGI Inc.,2012,19616900000.0,,,,,,
CGI Inc.,2013,19949200000.0,,,,,,
CGI Inc.,2014,20052400000.0,,,,,,
CGI Inc.,2015,20535900000.0,,,,,,
CGI Inc.,2016,20629600000.0,,,,,,
CGI Inc.,2017,21147000000.0,,,,,,
CGI Inc.,2018,21617000000.0,,,,,,
CGI Inc.,2019,22683800000.0,,,,,,
CGI Inc.,2020,23434000000.0,,,,,,
CGI Inc.,2021,24955000000.0,,,,,,
CGI Inc.,2022,29053000000.0,,,,,,
CGI Inc.,2023,31410000000.0,,,,,,
CGI Inc.,2024,32402000000.0,,,,,,
CGI Inc.,2025,34366000000.0,,,,,,
CGI Inc.,2009,19540300000.0,,,,,,
CGI Inc.,2008,19921400000.0,,,,,,
OpenText Corporation,2010,1715682000.0,,,,,,
OpenText Corporation,2011,1932363000.0,,,,,,
OpenText Corporation,2012,2444293000.0,,,,,,
OpenText Corporation,2013,2654817000.0,,,,,,
OpenText Corporation,2014,3899698000.0,,,,,,
OpenText Corporation,2015,4353330000.0,,,,,,
OpenText Corporation,2016,5154144000.0,,,,,,
OpenText Corporation,2017,7480562000.0,,,,,,
OpenText Corporation,2018,7765029000.0,,,,,,
OpenText Corporation,2019,7933975000.0,,,,,,
OpenText Corporation,2020,10234822000.0,,,,,,
OpenText Corporation,2021,9609336000.0,,,,,,
OpenText Corporation,2022,10178973000.0,,,,,,
OpenText Corporation,2023,17089200000.0,,,,,,
OpenText Corporation,2024,14205707000.0,,,,,,
OpenText Corporation,2025,13774064000.0,,,,,,
OpenText Corporation,2009,1507236000.0,502044000.0,,,0.3331,,
OpenText Corporation,2008,1434676000.0,491980000.0,,,0.3429,,
Agnico Eagle Mines Limited,2016,7107951000.0,2615477000.0,,,0.3680,,
Agnico Eagle Mines Limited,2017,7865601000.0,2918610000.0,,,0.3711,,
Agnico Eagle Mines Limited,2018,7852843000.0,3302831000.0,,,0.4206,,
Agnico Eagle Mines Limited,2019,8789885000.0,3678371000.0,,,0.4185,,
Agnico Eagle Mines Limited,2020,9614755000.0,3931542000.0,,,0.4089,,
Agnico Eagle Mines Limited,2021,10216090000.0,4216319000.0,,,0.4127,,
Agnico Eagle Mines Limited,2022,23494808000.0,7253463000.0,,,0.3087,,
Agnico Eagle Mines Limited,2023,28684949000.0,9262034000.0,,,0.3229,,
Agnico Eagle Mines Limited,2024,29987018000.0,9154118000.0,,,0.3053,,
Agnico Eagle Mines Limited,2025,34471291000.0,9728827000.0,,,0.2822,,
