"company_name","fiscal_year","operating_cash_flow","investing_cash_flow","financing_cash_flow","free_cash_flow"
Suncor Energy Inc.,2018,41859000,,,
Suncor Energy Inc.,2019,58836000,,,
Suncor Energy Inc.,2020,52764000,,,
Suncor Energy Inc.,2021,-35453000,,,
Suncor Energy Inc.,2022,-57935000,,,
Suncor Energy Inc.,2023,-10986000,,,
Suncor Energy Inc.,2024,22767000,,,
Suncor Energy Inc.,2025,-11348000,,,
TC Energy Corporation,2012,3571000000,,,
TC Energy Corporation,2013,3674000000,,,
TC Energy Corporation,2014,4226000000,,,
TC Energy Corporation,2015,4384000000,,,
TC Energy Corporation,2016,5069000000,,,
TC Energy Corporation,2017,5230000000,,,
TC Energy Corporation,2018,6555000000,,,
TC Energy Corporation,2019,7082000000,,,
TC Energy Corporation,2020,7058000000,,,
TC Energy Corporation,2021,6890000000,,,
TC Energy Corporation,2022,6375000000,,,
TC Energy Corporation,2023,7268000000,,,
TC Energy Corporation,2024,7696000000,,,
TC Energy Corporation,2025,7346000000,,,
Canadian Pacific Kansas City,2010,502000000,,,
Canadian Pacific Kansas City,2011,512000000,,,
Canadian Pacific Kansas City,2012,1328000000,,,
Canadian Pacific Kansas City,2013,1950000000,,,
Canadian Pacific Kansas City,2014,2123000000,,,
Canadian Pacific Kansas City,2015,2459000000,,,
Canadian Pacific Kansas City,2016,2089000000,,,
Canadian Pacific Kansas City,2017,2182000000,,,
Canadian Pacific Kansas City,2018,2712000000,,,
Canadian Pacific Kansas City,2019,2990000000,,,
Canadian Pacific Kansas City,2020,2802000000,,,
Canadian Pacific Kansas City,2021,3688000000,,,
Canadian Pacific Kansas City,2022,4142000000,,,
Canadian Pacific Kansas City,2023,4137000000,,,
Canadian Pacific Kansas City,2024,5269000000,,,
Canadian Pacific Kansas City,2025,5309000000,,,
Canadian Pacific Kansas City,2009,451000000,,,
Shopify Inc.,2015,15756000,,,
Shopify Inc.,2016,14017000,,,
Shopify Inc.,2017,7901000,,,
Shopify Inc.,2018,9324000,,,
Shopify Inc.,2019,70615000,,,
Shopify Inc.,2020,424958000,,,
Shopify Inc.,2021,535711000,,,
Shopify Inc.,2022,-136000000,,,
Shopify Inc.,2023,944000000,,,
